raceId,driverId,session,position,bestLapTime,laps
1145,846,FP1,1,0 days 00:01:17.252000,21
1145,832,FP1,2,0 days 00:01:17.401000,25
1145,844,FP1,3,0 days 00:01:17.461000,21
1145,857,FP1,4,0 days 00:01:17.670000,20
1145,830,FP1,5,0 days 00:01:17.696000,21
1145,848,FP1,6,0 days 00:01:17.713000,18
1145,847,FP1,7,0 days 00:01:17.716000,26
1145,4,FP1,8,0 days 00:01:17.736000,23
1145,872,FP1,9,0 days 00:01:17.847000,25
1145,840,FP1,10,0 days 00:01:18.057000,20
1145,852,FP1,11,0 days 00:01:18.061000,23
1145,1,FP1,12,0 days 00:01:18.071000,20
1145,862,FP1,13,0 days 00:01:18.232000,20
1145,863,FP1,14,0 days 00:01:18.390000,25
1145,866,FP1,15,0 days 00:01:18.438000,22
1145,859,FP1,16,0 days 00:01:18.455000,22
1145,842,FP1,17,0 days 00:01:18.505000,23
1145,807,FP1,18,0 days 00:01:18.586000,18
1145,839,FP1,19,0 days 00:01:19.139000,16
1145,860,FP1,20,0 days 00:01:19.312000,12
1145,844,FP2,1,0 days 00:01:16.439000,32
1145,857,FP2,2,0 days 00:01:16.563000,30
1145,846,FP2,3,0 days 00:01:16.580000,30
1145,852,FP2,4,0 days 00:01:16.784000,29
1145,1,FP2,5,0 days 00:01:16.859000,31
1145,872,FP2,6,0 days 00:01:17.019000,30
1145,830,FP2,7,0 days 00:01:17.063000,22
1145,807,FP2,8,0 days 00:01:17.161000,24
1145,840,FP2,9,0 days 00:01:17.279000,28
1145,847,FP2,10,0 days 00:01:17.282000,30
1145,832,FP2,11,0 days 00:01:17.302000,30
1145,848,FP2,12,0 days 00:01:17.302000,28
1145,4,FP2,13,0 days 00:01:17.330000,27
1145,862,FP2,14,0 days 00:01:17.394000,30
1145,842,FP2,15,0 days 00:01:17.493000,30
1145,863,FP2,16,0 days 00:01:17.634000,31
1145,859,FP2,17,0 days 00:01:17.640000,30
1145,866,FP2,18,0 days 00:01:17.847000,29
1145,839,FP2,19,0 days 00:01:18.034000,31
1145,857,FP3,1,0 days 00:01:15.921000,16
1145,847,FP3,2,0 days 00:01:15.960000,17
1145,830,FP3,3,0 days 00:01:16.002000,18
1145,844,FP3,4,0 days 00:01:16.188000,22
1145,863,FP3,5,0 days 00:01:16.206000,20
1145,832,FP3,6,0 days 00:01:16.252000,23
1145,848,FP3,7,0 days 00:01:16.258000,21
1145,1,FP3,8,0 days 00:01:16.378000,21
1145,852,FP3,9,0 days 00:01:16.455000,17
1145,846,FP3,10,0 days 00:01:16.597000,20
1145,866,FP3,11,0 days 00:01:16.707000,18
1145,842,FP3,12,0 days 00:01:16.719000,22
1145,872,FP3,13,0 days 00:01:16.732000,18
1145,840,FP3,14,0 days 00:01:16.948000,22
1145,862,FP3,15,0 days 00:01:16.993000,18
1145,807,FP3,16,0 days 00:01:17.146000,15
1145,4,FP3,17,0 days 00:01:17.270000,22
1145,839,FP3,18,0 days 00:01:17.373000,18
1145,859,FP3,19,0 days 00:01:46.861000,2
1146,846,FP1,1,0 days 00:01:31.504000,23
1146,844,FP1,2,0 days 00:01:31.958000,21
1146,857,FP1,3,0 days 00:01:32.153000,24
1146,1,FP1,4,0 days 00:01:32.195000,22
