raceId,driverId,stint,compound,startLap,endLap,lapsOnTire
1145,1,1,INTERMEDIATE,1,2,2
1145,1,2,INTERMEDIATE,3,3,1
1145,1,3,INTERMEDIATE,4,4,1
1145,1,4,INTERMEDIATE,5,33,29
1145,1,5,HARD,34,47,14
1145,1,6,INTERMEDIATE,48,57,10
1145,4,1,INTERMEDIATE,1,2,2
1145,4,2,INTERMEDIATE,3,3,1
1145,4,3,INTERMEDIATE,4,4,1
1145,4,4,INTERMEDIATE,5,33,29
1145,807,1,INTERMEDIATE,1,2,2
1145,807,2,INTERMEDIATE,3,3,1
1145,807,3,INTERMEDIATE,4,4,1
1145,807,4,INTERMEDIATE,5,33,29
1145,807,5,MEDIUM,34,44,11
1145,807,6,INTERMEDIATE,45,57,13
1145,830,1,INTERMEDIATE,1,2,2
1145,830,2,INTERMEDIATE,3,3,1
1145,830,3,INTERMEDIATE,4,4,1
1145,830,4,INTERMEDIATE,5,34,30
1145,830,5,MEDIUM,35,46,12
1145,830,6,INTERMEDIATE,47,57,11
1145,832,1,INTERMEDIATE,1,1,1
1145,839,1,INTERMEDIATE,1,2,2
1145,839,2,INTERMEDIATE,3,3,1
1145,839,3,INTERMEDIATE,4,4,1
1145,839,4,INTERMEDIATE,5,39,35
1145,839,5,MEDIUM,40,46,7
1145,839,6,INTERMEDIATE,47,57,11
1145,840,1,INTERMEDIATE,1,2,2
1145,840,2,INTERMEDIATE,3,3,1
1145,840,3,INTERMEDIATE,4,4,1
1145,840,4,INTERMEDIATE,5,33,29
1145,840,5,HARD,34,44,11
1145,840,6,INTERMEDIATE,45,57,13
1145,842,1,INTERMEDIATE,1,2,2
1145,842,2,INTERMEDIATE,3,3,1
1145,842,3,INTERMEDIATE,4,4,1
1145,842,4,INTERMEDIATE,5,33,29
1145,842,5,HARD,34,46,13
1145,842,6,INTERMEDIATE,47,57,11
1145,844,1,INTERMEDIATE,1,2,2
1145,844,2,INTERMEDIATE,3,3,1
1145,844,3,INTERMEDIATE,4,4,1
1145,844,4,INTERMEDIATE,5,34,30
1145,844,5,HARD,35,47,13
1145,844,6,INTERMEDIATE,48,57,10
1145,846,1,INTERMEDIATE,1,2,2
1145,846,2,INTERMEDIATE,3,3,1
1145,846,3,INTERMEDIATE,4,4,1
1145,846,4,INTERMEDIATE,5,34,30
1145,846,5,HARD,35,44,10
1145,846,6,INTERMEDIATE,45,57,13
1145,847,1,INTERMEDIATE,1,2,2
1145,847,2,INTERMEDIATE,3,3,1
1145,847,3,INTERMEDIATE,4,4,1
1145,847,4,INTERMEDIATE,5,34,30
1145,847,5,HARD,35,44,10
1145,847,6,INTERMEDIATE,45,57,13
1145,848,1,INTERMEDIATE,1,2,2
1145,848,2,INTERMEDIATE,3,3,1
1145,848,3,INTERMEDIATE,4,4,1
1145,848,4,INTERMEDIATE,5,33,29
1145,848,5,MEDIUM,34,44,11
1145,848,6,INTERMEDIATE,45,57,13
1145,852,1,INTERMEDIATE,1,2,2
1145,852,2,INTERMEDIATE,3,3,1
1145,852,3,INTERMEDIATE,4,4,1
1145,852,4,INTERMEDIATE,5,33,29
1145,852,5,MEDIUM,34,47,14
1145,852,6,INTERMEDIATE,48,57,10
1145,857,1,INTERMEDIATE,1,2,2
1145,857,2,INTERMEDIATE,3,3,1
1145,857,3,INTERMEDIATE,4,4,1
1145,857,4,INTERMEDIATE,5,34,30
1145,857,5,HARD,35,44,10
1145,857,6,INTERMEDIATE,45,57,13
1145,859,1,INTERMEDIATE,1,2,2
1145,859,2,INTERMEDIATE,3,3,1
1145,859,3,INTERMEDIATE,4,4,1
1145,859,4,INTERMEDIATE,5,33,29
1145,859,5,MEDIUM,34,47,14
1145,860,1,INTERMEDIATE,1,2,2
1145,860,2,INTERMEDIATE,3,3,1
1145,860,3,INTERMEDIATE,4,4,1
1145,860,4,INTERMEDIATE,5,39,35
1145,860,5,MEDIUM,40,44,5
1145,860,6,INTERMEDIATE,45,57,13
1145,862,1,INTERMEDIATE,1,1,1
1145,863,1,INTERMEDIATE,1,2,2
1145,863,2,INTERMEDIATE,3,3,1
1145,863,3,INTERMEDIATE,4,4,1
1145,863,4,INTERMEDIATE,5,33,29
1145,863,5,HARD,34,44,11
1145,863,6,INTERMEDIATE,45,57,13
1145,866,1,INTERMEDIATE,1,2,2
1145,866,2,INTERMEDIATE,3,3,1
1145,866,3,INTERMEDIATE,4,4,1
1145,866,4,INTERMEDIATE,5,33,29
1145,866,5,MEDIUM,34,44,11
1145,866,6,INTERMEDIATE,45,46,2
1145,872,1,INTERMEDIATE,1,1,1
1146,1,1,MEDIUM,1,13,13
1146,1,2,HARD,14,37,24
1146,1,3,HARD,38,56,19
1146,4,1,MEDIUM,1,4,4
1146,807,1,MEDIUM,1,20,20
1146,807,2,HARD,21,55,35
1146,830,1,MEDIUM,1,13,13
1146,830,2,HARD,14,56,43
1146,832,1,MEDIUM,1,17,17
1146,832,2,HARD,18,56,39
1146,839,1,MEDIUM,1,11,11
1146,839,2,HARD,12,56,45
1146,840,1,HARD,1,36,36
1146,840,2,MEDIUM,37,56,20
1146,842,1,MEDIUM,1,10,10
1146,842,2,HARD,11,56,46
1146,844,1,MEDIUM,1,15,15
1146,844,2,HARD,16,56,41
1146,846,1,MEDIUM,1,15,15
1146,846,2,HARD,16,56,41
1146,847,1,MEDIUM,1,14,14
1146,847,2,HARD,15,56,42
1146,848,1,MEDIUM,1,20,20
1146,848,2,HARD,21,56,36
1146,852,1,MEDIUM,1,11,11
1146,852,2,HARD,12,35,24
1146,852,3,HARD,36,46,11
1146,852,4,MEDIUM,47,55,9
1146,857,1,MEDIUM,1,14,14
1146,857,2,HARD,15,56,42
1146,859,1,HARD,1,18,18
1146,859,2,MEDIUM,19,30,12
1146,859,3,HARD,31,56,26
1146,860,1,HARD,1,26,26
1146,860,2,MEDIUM,27,56,30
1146,862,1,MEDIUM,1,11,11
1146,862,2,HARD,12,56,45
1146,863,1,MEDIUM,1,12,12
1146,863,2,HARD,13,56,44
1146,866,1,MEDIUM,1,1,1
1146,866,2,HARD,2,26,25
1146,866,3,HARD,27,55,29
1146,872,1,MEDIUM,1,12,12
1146,872,2,HARD,13,33,21
1146,872,3,HARD,34,56,23
1147,1,1,HARD,1,30,30
1147,1,2,MEDIUM,31,53,23
1147,4,1,MEDIUM,1,24,24
1147,4,2,HARD,25,53,29
1147,807,1,MEDIUM,1,22,22
1147,807,2,HARD,23,53,31
1147,830,1,MEDIUM,1,21,21
1147,830,2,HARD,22,53,32
1147,832,1,MEDIUM,1,33,33
1147,832,2,SOFT,34,53,20
1147,839,1,HARD,1,32,32
1147,839,2,MEDIUM,33,53,21
1147,840,1,SOFT,1,9,9
1147,840,2,HARD,10,30,21
1147,840,3,MEDIUM,31,52,22
1147,842,1,MEDIUM,1,24,24
1147,842,2,HARD,25,53,29
1147,844,1,MEDIUM,1,21,21
1147,844,2,HARD,22,53,32
1147,846,1,MEDIUM,1,21,21
1147,846,2,HARD,22,53,32
1147,847,1,MEDIUM,1,19,19
1147,847,2,HARD,20,53,34
1147,848,1,MEDIUM,1,24,24
1147,848,2,HARD,25,53,29
1147,852,1,MEDIUM,1,23,23
1147,852,2,HARD,24,53,30
1147,857,1,MEDIUM,1,20,20
1147,857,2,HARD,21,53,33
1147,859,1,MEDIUM,1,33,33
1147,859,2,SOFT,34,53,20
1147,860,1,MEDIUM,1,23,23
1147,860,2,HARD,24,53,30
1147,862,1,SOFT,1,15,15
1147,862,2,HARD,16,53,38
1147,863,1,MEDIUM,1,31,31
1147,863,2,HARD,32,53,22
1147,866,1,HARD,1,31,31
1147,866,2,MEDIUM,32,53,22
1147,872,1,MEDIUM,1,25,25
1147,872,2,HARD,26,53,28
1148,1,1,MEDIUM,1,17,17
1148,1,2,MEDIUM,18,32,15
1148,1,3,HARD,33,57,25
1148,4,1,MEDIUM,1,16,16
1148,4,2,MEDIUM,17,32,16
1148,4,3,HARD,33,57,25
1148,807,1,SOFT,1,5,5
1148,807,2,MEDIUM,6,27,22
1148,807,3,MEDIUM,28,57,30
1148,830,1,SOFT,1,10,10
1148,830,2,HARD,11,26,16
1148,830,3,MEDIUM,27,57,31
1148,832,1,SOFT,1,14,14
1148,832,2,MEDIUM,15,32,18
1148,832,3,HARD,33,44,12
1148,832,4,SOFT,45,45,1
1148,839,1,SOFT,1,8,8
1148,839,2,MEDIUM,9,27,19
1148,839,3,HARD,28,57,30
1148,840,1,SOFT,1,12,12
